,Region,State_var,Significance,if_tsfresh,if_log,model,train_rmse_1,train_rmse_2,train_rmse_3,train_rmse_4,train_rmse_5,test_rmse_1,test_rmse_2,test_rmse_3,test_rmse_4,test_rmse_5,train_mape_1,train_mape_2,train_mape_3,train_mape_4,train_mape_5,test_mape_1,test_mape_2,test_mape_3,test_mape_4,test_mape_5,mean_train_rmse,mean_test_rmse,mean_train_mape,mean_test_mape,med_train_rmse,med_test_rmse,med_train_mape,med_test_mape,max_train_rmse,max_test_rmse,max_train_mape,max_test_mape,HL_train_rmse,HL_test_rmse,HL_train_mape,HL_test_mape
757,B,V_t,3.5,TRUE,FALSE,RF,33.06465056,34.53805721,34.17664723,32.93842471,33.52818276,100.0154883,91.06577651,104.7230013,121.8124698,94.52001587,3.303648363,3.309810549,3.433701414,3.041704999,3.338479993,9.02215774,9.010272846,9.578603928,13.22680176,9.837999527,33.64919249,102.4273504,3.285469064,10.13516716,33.52818276,100.0154883,3.309810549,9.578603928,34.53805721,121.8124698,3.433701414,13.22680176,33.6206489,100.0154883,3.309810549,9.578603928
703,B,V_t,7.5,FALSE,FALSE,RF,44.0746819,34.59080689,34.97759645,33.69155863,32.82640314,100.720236,90.24667357,107.4999185,122.5068215,97.7014123,4.851985402,3.260593754,3.572396516,3.129017152,3.242149691,9.077522116,9.087880336,9.466361777,13.11518503,10.23740221,36.0322094,103.7350124,3.611228503,10.19687029,34.59080689,100.720236,3.260593754,9.466361777,44.0746819,122.5068215,4.851985402,13.11518503,34.59080689,102.6006654,3.407273103,9.662641272
1007,C,Q_V,7,TRUE,FALSE,XGB,7.483243253,1.322814001,10.03094541,2.379251581,11.00609773,90.73075693,76.11102164,121.3548493,106.2629546,98.51313998,0.798709944,0.131740267,1.077036152,0.252829997,1.132307288,8.210616139,7.912998687,9.66468058,12.15726183,10.62790866,6.444470394,98.59454448,0.67852473,9.71469318,7.483243253,98.51313998,0.798709944,9.66468058,11.00609773,121.3548493,1.132307288,12.15726183,6.205098496,98.51313998,0.664933074,9.66468058
709,B,V_t,8,FALSE,FALSE,RF,44.13109827,43.63881589,34.9333083,41.55221022,33.18713881,102.7921803,87.85833218,106.1926345,124.5202894,96.76320011,4.85926743,4.530286678,3.55006467,4.153395789,3.309787471,9.386890919,8.957505577,9.398152923,13.53895195,10.01569149,39.4885143,103.6253273,4.080560408,10.25943857,41.55221022,102.7921803,4.153395789,9.398152923,44.13109827,124.5202894,4.85926743,13.53895195,39.2860621,102.7921803,4.084527451,9.701291204
811,B,V_t,8,TRUE,FALSE,RF,33.93440801,34.30018574,35.2284619,33.19215016,33.28395113,101.5482771,89.83808392,106.652766,121.7509331,98.20638047,3.304789843,3.290472308,3.601676015,3.105347894,3.329583736,9.255375603,9.159722945,9.453886814,13.17139752,10.17578748,33.98783139,103.5992881,3.326373959,10.24323407,33.93440801,101.5482771,3.304789843,9.453886814,35.2284619,121.7509331,3.601676015,13.17139752,33.93440801,102.4295732,3.310028022,9.715581542
1686,B,Q_V,4.5,FALSE,TRUE,SVR,38.24814479,67.61630782,58.41986861,37.71283497,37.32859336,120.4416174,74.79020845,136.9177285,86.16559919,83.13741848,4.394898421,6.960120783,6.128073892,4.015577545,3.981994205,10.21024515,8.141701456,10.84779913,9.717059439,9.634335587,47.86514991,100.2905144,5.096132969,9.710228153,38.24814479,86.16559919,4.394898421,9.717059439,67.61630782,136.9177285,6.960120783,10.84779913,48.06635179,101.7895179,5.071825718,9.717059439
1788,B,Q_V,4.5,TRUE,TRUE,SVR,38.24814479,67.61630782,58.41986861,37.71283497,37.32859336,120.4416174,74.79020845,136.9177285,86.16559919,83.13741848,4.394898421,6.960120783,6.128073892,4.015577545,3.981994205,10.21024515,8.141701456,10.84779913,9.717059439,9.634335587,47.86514991,100.2905144,5.096132969,9.710228153,38.24814479,86.16559919,4.394898421,9.717059439,67.61630782,136.9177285,6.960120783,10.84779913,48.06635179,101.7895179,5.071825718,9.717059439
799,B,V_t,7,TRUE,FALSE,RF,34.10453706,34.95225599,34.59274628,33.26075233,32.86294164,102.5814751,88.8879603,109.5693785,122.1698911,97.20209208,3.369373749,3.317293488,3.529427123,3.081933105,3.231391583,9.299780266,9.138171359,9.653258596,13.27088623,10.13438343,33.95464666,104.0821594,3.30588381,10.29929598,34.10453706,102.5814751,3.317293488,9.653258596,34.95225599,122.1698911,3.529427123,13.27088623,33.9267493,103.3857353,3.305680114,9.717081848
691,B,V_t,6.5,FALSE,FALSE,RF,33.71105006,34.98899809,34.47970096,33.13259338,33.62708486,98.4104586,91.41594655,108.5328431,121.2198794,95.51636796,3.313584534,3.370499656,3.49156535,3.080376298,3.384513753,9.180874299,9.344410405,9.717387695,13.13238588,10.07707169,33.98788547,103.0190991,3.328107918,10.29042599,33.71105006,98.4104586,3.370499656,9.717387695,34.98899809,121.2198794,3.49156535,13.13238588,34.05339291,102.0246055,3.349049143,9.717387695
781,B,V_t,5.5,TRUE,FALSE,RF,43.74134518,35.15243769,34.68317178,33.31880785,32.80372403,99.93157186,92.29202828,107.2769122,122.8692037,96.38106043,4.829782146,3.393898727,3.515170232,3.065527482,3.298457021,9.369782378,9.215981932,9.634472151,13.26305045,10.06757514,35.93989731,103.7501553,3.620567122,10.31017241,34.68317178,99.93157186,3.393898727,9.634472151,43.74134518,122.8692037,4.829782146,13.26305045,34.68317178,101.8289863,3.406813627,9.71867876
