,data,model,med_train_rmse,med_test_rmse,max_test_rmse,med_train_mape,med_test_mape,max_test_mape,sum_rmse,sum_mape,rank_rmse,rank_mape
1,log_B_Q_V_designed,RF,59.94896899,97.33488111,108.5440995,6.178127832,9.195440754,11.92664803,205.8789806,21.12208878,1,1
2,log_B_Q_V_designed,SVR,81.93646387,96.06036586,112.4429503,7.655235162,9.232472864,11.89680889,208.5033162,21.12928175,2,2
0,log_B_Q_V_designed,XGB,40.86807264,107.6545506,123.3795133,3.902025077,10.52202483,12.83907624,231.0340639,23.36110107,4,3
11,log_B_Q_V_designed,LCEN3,96.86944549,110.3675174,113.9035951,9.161592644,11.40091527,12.32292797,224.2711125,23.72384324,3,4
9,log_B_Q_V_designed,LCEN2,105.7769574,116.9078532,151.0093132,10.59837237,12.08038448,13.06180368,267.9171664,25.14218816,10,5
3,log_B_Q_V_designed,ALVEN,111.0339514,117.1502812,123.3355627,11.47808136,11.19713285,14.24847459,240.4858438,25.44560744,8,6
4,log_B_Q_V_designed,LCEN,111.5521194,116.0679783,124.5119545,11.48513425,11.1765735,14.36173647,240.5799328,25.53830997,9,7
5,log_B_Q_V_designed,EN,111.6032864,113.1647792,123.7262799,11.52315998,11.30053666,14.2880232,236.8910591,25.58855986,5,8
7,log_B_Q_V_designed,PLS,111.1526648,113.243728,123.6660824,11.52315998,11.30608849,14.28352427,236.9098104,25.58961277,6,9
6,log_B_Q_V_designed,RR,111.1865426,113.3183516,123.8700698,11.53395571,11.31487886,14.29827936,237.1884214,25.61315822,7,10
8,log_B_Q_V_designed,ALVEN2,112.3353985,118.4509283,151.7783297,11.31227403,12.37645269,14.14811665,270.229258,26.52456933,11,11
10,log_B_Q_V_designed,ALVEN3,111.4499735,118.8715611,152.72637,11.25486523,12.38324711,14.23166635,271.597931,26.61491346,12,12
