,if_reduced,if_log,model,med_train_rmse,med_test_rmse,max_test_rmse,med_train_mape,med_test_mape,max_test_mape,sum_rmse,sum_mape,rank_rmse,rank_mape
22,TRUE,TRUE,XGB,53.60263583,107.1026631,124.8058538,5.599863718,11.06313595,11.35375508,231.9085168,22.41689104,1,1
9,FALSE,TRUE,XGB,53.6010615,111.1420949,135.6717597,5.59930399,10.56825396,11.86026668,246.8138546,22.42852064,9,2
39,TRUE,FALSE,SVR,91.20783786,98.24761304,147.1934481,8.844059525,9.968737507,12.85175663,245.4410611,22.82049413,8,3
14,TRUE,TRUE,RF,55.63022792,92.00802854,144.386768,5.663527254,10.23104603,12.68511352,236.3947966,22.91615955,3,4
35,FALSE,FALSE,XGB,53.52987748,110.0459837,137.4836897,5.633175106,10.52581108,12.9923343,247.5296734,23.51814538,12,5
13,TRUE,TRUE,SVR,88.84296145,101.893996,152.1853218,8.274306305,10.6480692,13.02852574,254.0793178,23.67659494,14,6
1,FALSE,TRUE,RF,54.17095063,95.39574001,142.2412314,5.65772297,10.77019771,12.92224834,237.6369714,23.69244605,4,7
48,TRUE,FALSE,XGB,53.53326365,103.8235017,132.1032662,5.62702585,11.18708544,12.64639706,235.9267678,23.8334825,2,8
40,TRUE,FALSE,RF,56.3566669,96.10756688,147.7502117,5.944844473,10.9249824,13.29446307,243.8577786,24.21944547,6,9
27,FALSE,FALSE,RF,54.10675453,101.6476402,139.6653238,5.640426063,11.79544973,12.47103882,241.312964,24.26648854,5,10
17,TRUE,TRUE,LCEN2,81.28590342,105.4713516,153.5928128,8.376166781,11.53423082,13.17727577,259.0641644,24.71150659,17,11
21,TRUE,TRUE,ALVEN3,84.90512311,113.2236063,132.0531363,8.686880693,11.7137889,13.52252199,245.2767426,25.23631089,7,12
46,TRUE,FALSE,ALVEN2,85.32917732,113.1951161,133.835792,9.003675489,11.99155034,13.72030244,247.0309081,25.71185278,10,13
47,TRUE,FALSE,ALVEN3,84.06700903,115.9104127,133.3937357,8.854413285,11.92854227,13.99707783,249.3041484,25.9256201,13,14
20,TRUE,TRUE,ALVEN2,84.12509854,111.6541863,135.8276574,8.680160173,12.27109481,13.79702435,247.4818437,26.06811916,11,15
44,TRUE,FALSE,LCEN3,81.08776216,119.5865458,141.0083164,8.490623916,11.67585782,14.78153873,260.5948623,26.45739655,18,16
18,TRUE,TRUE,LCEN3,79.79307279,120.5391435,144.1116762,8.174266658,11.74654939,14.81758935,264.6508197,26.56413873,21,17
43,TRUE,FALSE,LCEN2,82.85232642,114.2637781,144.6057039,8.684388987,12.24812293,14.46834058,258.869482,26.71646351,16,18
19,TRUE,TRUE,ALVEN1,109.6044842,119.0450493,145.0647129,11.40273874,13.20785543,14.08469032,264.1097622,27.29254575,20,19
6,FALSE,TRUE,ALVEN1,106.3819294,126.9106409,145.0647129,10.97052617,13.51794099,14.71264392,271.9753538,28.23058491,26,20
16,TRUE,TRUE,LCEN1,106.465491,122.5591683,145.7133014,11.05120498,13.68120716,14.70220366,268.2724697,28.38341082,24,21
45,TRUE,FALSE,ALVEN1,110.2370798,116.7167951,142.0167731,11.79105993,13.6658505,14.75733949,258.7335682,28.42318999,15,22
32,FALSE,FALSE,ALVEN1,106.1802785,130.0564997,140.1662114,11.36302741,14.11042795,15.20394552,270.2227111,29.31437347,25,23
0,FALSE,TRUE,SVR,74.57709258,114.1868945,146.9047066,8.017993944,12.00200215,17.49549335,261.0916011,29.4974955,19,24
3,FALSE,TRUE,LCEN1,103.304671,130.3989262,153.4862737,10.59150169,14.4549148,15.16471745,283.8851999,29.61963225,27,25
31,FALSE,FALSE,LCEN3,113.0375917,134.9471392,166.1374145,12.15183883,14.39028297,15.60237078,301.0845537,29.99265375,30,26
42,TRUE,FALSE,LCEN1,107.515081,125.0316108,141.5469987,11.56685469,14.18641287,15.89927979,266.5786095,30.08569265,23,27
26,FALSE,FALSE,SVR,76.55521978,117.0814542,148.6309234,8.310328883,12.67748301,17.61189175,265.7123776,30.28937475,22,28
25,TRUE,TRUE,SPLS,141.4006561,134.1306001,189.0111215,13.83983441,14.83767216,15.86115964,323.1417216,30.6988318,34,29
