,Region,State_var,Significance,if_tsfresh,if_log,model,train_rmse_1,train_rmse_2,train_rmse_3,train_rmse_4,train_rmse_5,test_rmse_1,test_rmse_2,test_rmse_3,test_rmse_4,test_rmse_5,train_mape_1,train_mape_2,train_mape_3,train_mape_4,train_mape_5,test_mape_1,test_mape_2,test_mape_3,test_mape_4,test_mape_5,mean_train_rmse,mean_test_rmse,mean_train_mape,mean_test_mape,med_train_rmse,med_test_rmse,med_train_mape,med_test_mape,max_train_rmse,max_test_rmse,max_train_mape,max_test_mape,HL_train_rmse,HL_test_rmse,HL_train_mape,HL_test_mape
0,A,Q_V,0.0,False,False,SVR,53.231463798997446,40.46457996792244,58.45561835405373,31.874885034441938,41.10249234046303,89.56608819127962,128.6589698789024,189.6052454173835,128.25889286121995,105.06081066560986,6.434407158256048,4.411050482459212,6.453049044445221,2.29983794294718,3.7603104062161523,8.799529330232494,14.936064875278934,15.144086884454577,15.974693445925752,12.905977251063398,45.02580789917572,128.23000140287905,4.671731006864762,13.552070357391027,41.10249234046303,128.25889286121995,4.411050482459212,14.936064875278934,58.45561835405373,189.6052454173835,6.453049044445221,15.974693445925752,45.165251694247836,128.25889286121995,4.411050482459212,14.025032067758987
1,A,Q_V,0.0,False,False,RF,38.72908435362294,38.69265549720152,35.625067189434844,36.9480826351878,44.37078893860587,140.75944925282255,106.89770896059494,168.96515300076354,131.96408975662325,116.09824837684155,4.00026432376033,3.7819029062057257,3.6446703107863243,3.4806149280479666,4.809028084945653,13.497266756515701,13.031993809140097,13.990889661032947,15.455063383170083,12.081063800203824,38.873135722810595,132.93692986952917,3.9432961107491997,13.61125548201253,38.69265549720152,131.96408975662325,3.7819029062057257,13.497266756515701,44.37078893860587,168.96515300076354,4.809028084945653,15.455063383170083,38.69265549720152,131.96408975662325,3.8224673172733272,13.511441735086521
2,A,Q_V,0.0,False,False,EN,103.51991963554617,120.08625605598732,89.35175474010228,100.17447278034935,80.27351034520417,134.3302090114536,125.50632318549238,204.91999901674026,142.46842045749815,135.39262830992365,10.990733174099597,12.730544681206899,9.284444660442562,10.384541655687237,8.529593202982722,12.770941505622439,14.832588237201195,16.626222354815862,16.293797713522707,15.30305838597026,98.68118271143786,148.52351599622162,10.383971474883804,15.165321639426491,100.17447278034935,135.39262830992365,10.384541655687237,15.30305838597026,120.08625605598732,204.91999901674026,12.730544681206899,16.626222354815862,100.17447278034935,138.39931473447587,10.384541655687237,15.30305838597026
3,A,Q_V,0.0,False,False,LCEN,94.99593660035134,82.13080220883367,103.84777418592942,92.00415446267749,89.75233211300737,125.80744742514574,140.41524696326033,196.51106016398285,128.48233225900842,160.4955652572068,9.81068879098333,8.352177978052072,10.588751109380997,9.454040595700118,9.535553455149646,11.28377755958028,14.541943789738504,15.64986770788569,14.860112191290032,16.745434136546443,92.54619991415986,150.34233041372082,9.548242385853232,14.616227077008187,92.00415446267749,140.41524696326033,9.535553455149646,14.860112191290032,103.84777418592942,196.51106016398285,10.588751109380997,16.745434136546443,92.37413435667935,144.4889487581076,9.535553455149646,14.860112191290032
4,A,Q_V,0.0,False,False,ALVEN,87.75330225746846,114.40812320874201,118.63833670810617,96.89834804709837,67.35695100703228,146.2867492184147,141.73356863835048,169.83961688733797,148.78518397845232,191.71064704898996,9.268170024260035,11.335497450867239,12.106329291332926,9.813842021771542,6.860383997354209,14.210707708830654,15.882509996131072,12.859876110181462,16.968450206119307,19.785259868949446,97.01101224568944,159.67115315430908,9.87684455711719,15.94136077804239,96.89834804709837,148.78518397845232,9.813842021771542,15.882509996131072,118.63833670810617,191.71064704898996,12.106329291332926,19.785259868949446,96.89834804709837,158.06318305287635,9.813842021771542,15.882509996131072
5,A,Q_V,0.0,False,False,XGB,0.09108816668731846,5.299248960260083,1.2440958859442197,1.2183520713108258,6.80566397266349,115.19429577311443,119.18758972830116,186.39828828856253,117.60141751739063,127.36709237737446,0.009476677556586488,0.6069440385553233,0.13579523513607497,0.132771864142621,0.7402229314859122,11.364485363278735,13.988227715500592,15.000545636827237,12.984681368978544,13.3000938358663,2.9316898113731873,133.14973673694863,0.3250421493753036,13.327606784090282,1.2440958859442197,119.18758972830116,0.13579523513607497,13.3000938358663,6.80566397266349,186.39828828856253,0.7402229314859122,15.000545636827237,3.2588005157854547,122.48425494738254,0.36985795134897215,13.3000938358663
6,A,Q_V,0.5,False,False,SVR,55.25244903167037,44.95567195342978,59.11352340814742,32.62790178317967,32.76536674589428,87.01550820124181,132.80347063392207,201.10738680333728,127.65802892867022,112.59586449830691,6.639923265528574,5.21026495385761,6.4814026822530915,2.18583930198793,2.7109047324248152,8.079700729873586,15.60037166633132,15.536697020965605,16.27553009196848,12.680080084910017,44.9429825844643,132.23605181309566,4.6456669872104035,13.634475918809802,44.95567195342978,127.65802892867022,5.21026495385761,15.536697020965605,59.11352340814742,201.10738680333728,6.639923265528574,16.27553009196848,44.95567195342978,127.65802892867022,4.596153707338953,14.140225875620668
7,A,Q_V,0.5,False,False,RF,40.12568350792816,38.87607564726994,35.18085357689036,44.7018622922103,68.52354114857667,139.66513419696565,118.85524761231983,185.68797921705726,133.43626995985304,127.78370879656954,4.22796902674184,3.813668366651504,3.6494151284849923,4.490298305998452,7.331703964848074,13.223465783871237,14.072851669204239,15.500041371879767,15.858153744661529,13.4199235375912,45.48160323457508,141.08566795655307,4.702610958544972,14.414887221441594,40.12568350792816,133.43626995985304,4.22796902674184,14.072851669204239,68.52354114857667,185.68797921705726,7.331703964848074,15.858153744661529,41.788968969740125,133.7244214967676,4.22796902674184,14.459982454735485
8,A,Q_V,0.5,False,False,EN,108.8666381728861,109.68699002851399,61.85209504866058,103.69327605680341,106.79044479910397,131.11688410623935,125.27655555467166,5.468838690647855e+18,140.48485307582897,133.30701675758525,11.399015683103913,11.50833199858976,6.793552655592241,10.769737490498885,11.167460812764368,12.644210395775634,14.378835751281485,8.25365330721199e+16,15.92718441788265,14.848919750875003,98.17788882119362,1.0937677381295711e+18,10.327619728109834,1.6507306614423994e+16,106.79044479910397,133.30701675758525,11.167460812764368,14.848919750875003,109.68699002851399,5.468838690647855e+18,11.50833199858976,8.25365330721199e+16,106.27995711484476,135.80086859103415,11.0843765868014,15.153010084582068
9,A,Q_V,0.5,False,False,LCEN,96.50243206368303,83.93665880303648,84.6002711322378,81.15536737868149,88.38215161152579,122.5080327512661,135.8413132669384,197.93573505027305,107.85243275316142,127.14473926254055,10.184671396542749,8.602677124924538,9.001987840527137,8.673781363087272,9.695980403885871,11.555686421612535,14.699902674257714,15.684270046475364,13.001850662659354,13.173605048336606,86.91537619783291,138.2564506168359,9.231819625793513,13.623062970668315,84.6002711322378,127.14473926254055,9.001987840527137,13.173605048336606,96.50243206368303,197.93573505027305,10.184671396542749,15.684270046475364,86.15940520728114,129.17467300910226,9.18488088348657,13.619978234043948
