seq_num,rpt_low_life,rpt_med_life,regu_life,regu_knee,q_throughput,e_throughput
100,629.6783308,573.9691817,468,352,107.6250534,421.8202209
101,653.0221545,626.2329094,546,356,124.0511932,488.2603149
102,705.5868713,668.5785013,543,459,122.8475647,482.5477905
103,570.8503848,557.9456174,477,398,109.9849167,431.148468
104,750.3695916,705.9868477,597,373,134.1075439,528.085083
105,666.856508,609.0482064,518,453,119.1937714,470.1756897
106,1032.080819,1012.46671,862,465,189.1052399,746.8206787
107,1003.716282,983.4308273,852,424,188.3688812,745.1617432
108,968.3018203,959.3050516,851,432,186.7958374,733.692688
109,886.3308718,840.6007069,647,358,142.8474426,564.0606079
110,859.6750436,778.7882968,650,461,143.7553101,564.1881104
112,764.0496299,703.5937628,538,459,120.6127853,473.5777283
113,820.778833,785.7111269,549,472,122.7933121,482.4385376
114,909.8384873,775.3389921,573,509,128.5552826,508.6237183
115,664.8840592,620.1834444,486,369,110.350029,433.9111938
116,612.0782376,577.7231271,469,288,105.3420715,413.2010193
117,814.4794652,745.2372468,584,490,131.5113831,519.1739502
118,748.3005177,709.3515616,571,460,127.7751465,501.9321289
119,769.2520939,757.5658716,648,471,145.7410889,574.6452026
120,773.4127587,769.8128453,704,465,160.1471405,630.6143188
121,784.7860278,749.2188037,547,463,122.7304764,481.7149048
122,746.6897867,722.1525926,658,461,149.3728943,590.7597656
123,750.6998822,704.85671,547,492,123.6233368,484.7415466
124,864.9797559,793.9303147,649,513,144.2772675,572.0570068
125,808.7805487,775.0661464,597,460,133.6451721,523.8916016
126,927.5878129,856.9722874,646,416,143.7287292,569.6966553
127,989.0272232,969.3635351,872,564,193.920929,761.0438843
128,920.3199594,895.2008814,774,466,175.1308594,688.7991943
129,958.8456404,930.620518,808,418,180.3994446,708.9981689
130,890.3886461,881.301354,810,566,182.4131775,720.0001221
131,726.6690916,722.5054024,700,561,158.6122131,621.9957886
132,,,,,,
133,,,,,,
134,853.8522264,849.5508493,771,463,171.54953,684.3396606
135,752.7177821,702.0019463,548,455,123.2984238,484.587677
136,868.0239516,833.5511374,667,381,148.5184479,582.6089478
137,814.3279506,798.1234124,685,573,154.772171,606.505249
138,873.0090101,848.2054517,695,392,156.8586578,617.7110596
139,970.0408614,908.4703773,650,562,145.8977203,578.6277466
140,646.6731884,647.3325253,623,414,141.6225739,555.7896118
141,729.711775,705.8004188,622,415,141.4973602,554.5079346
142,984.4976412,960.6958807,911,572,204.2412567,801.3643188
143,1186.97452,1174.760089,1062,604,236.0833435,926.3557129
144,885.8246624,879.496582,861,631,192.9508972,757.8323975
145,831.5045497,780.8184244,674,399,151.6613312,601.3491211
146,755.0307885,730.3046062,649,460,146.557785,575.2545166
147,750.1817477,702.334513,598,374,133.7638245,526.6452637
148,793.1530122,739.9076328,563,479,126.96521,498.4775696
149,774.5311993,736.8216236,550,359,122.3340225,481.1608276
150,765.2737808,733.9309403,471,395,106.3435516,416.2518311
151,870.4093636,849.534516,736,598,166.0973206,654.4577026
152,873.3319337,824.9150085,628,381,140.8418884,552.9760132
154,867.6542747,836.6473628,714,464,162.214798,637.5100708
155,858.0624299,844.1524389,724,564,165.0091705,648.2926636
156,840.8239914,810.7671835,588,506,133.0439301,522.2463989
157,990.4235005,958.1768455,872,572,192.3891296,759.9135742
158,890.2322385,875.2995799,810,559,181.911087,716.3248291
159,864.9338019,831.7164755,699,362,155.1090698,610.0559692
160,813.1440001,784.4774096,690,468,157.4759827,617.319519
161,741.5760524,696.046366,558,358,124.7011185,489.2990417
162,783.267896,744.1682206,593,469,132.0847931,519.6303101
163,1109.0285,1097.701665,995,571,220.1667633,869.3630981
165,1171.046765,1161.054326,1014,675,224.3585358,880.5982056
